municipio,desmatamento_2022,desmatamento_2024,crescimento_desmatamento,r2_score,mse,impacto_ano_2024,impacto_agro_2024,impacto_pib_2024,impacto_ind_2024,impacto_adm_2024
Corumbá,7480.7,7764.922449408652,284.2224494086522,0.99,6838.37,503.69437201043576,1243.8337291231346,-3007.9767131058265,617.9392950812763,5255.640745361377
Porto Murtinho,3677.570218497851,3735.8046447023225,58.234426204471674,0.99,136.74,17851.601388534324,10.53576326650633,225.09032658017375,-5.027175783575198,257.83934152452366
Cáceres,3577.762328654513,3646.768686189229,69.00635753471579,1.0,21.87,50791.7441803362,-25.90056008826356,-62.53570203167046,-20.223368409086653,295.67776147746287
Aquidauana,3373.0552685393777,3526.0440691155673,152.98880057618953,1.0,106.48,139016.0248234166,306.4988973095603,-284.1211859744923,-99.39083252898529,286.20323642909085
Rio Verde de Mato Grosso,2879.662831410609,2967.7257538959275,88.06292248531827,1.0,80.0,34815.68764636379,124.88130342954159,27.185435688787077,-17.714886918567142,430.3801874311509
Santo Antônio do Leverger,2350.444753801665,2433.7098062534606,83.26505245179578,1.0,48.51,21054.11323945015,-345.44172927571435,543.8682676933936,-10.908312286291935,452.9009108662053
Barão de Melgaço,1287.779132902284,1349.1239943081086,61.34486140582476,0.99,178.4,529.2131355735245,92.36625228932841,-360.8320763501314,190.83378232043623,631.9812310938705
Poconé,1283.754521681636,1342.1943745067547,58.43985282511858,1.0,25.2,43825.79145888519,-24.447012070471118,192.5736013428975,-9.377968023098191,-6.274858902323487
Coxim,1079.7168439552343,1095.8886933773572,16.171849422122932,0.99,8.55,-0.20112387467319842,-19.484603700096073,36.61283726359931,8.987210099325033,165.07564698600797
Porto Esperidião,572.0953347841119,582.9682583074301,10.872923523318264,0.98,7.31,180.09823414237954,-29.004779562783558,125.47291110405426,-23.60822010559437,56.62023057763969
Sonora,535.8804942916104,548.8052617659414,12.92476747433102,0.97,18.28,34987.34557396885,-56.003686251174884,11.250542632230443,33.409181078612235,-203.3153434173277
Itiquira,388.4603234857059,416.2147819941274,27.75445850842152,0.99,14.82,27266.77499357627,-27.473439418633713,-10.990268552596284,43.03177533933572,-1.0884457108583525
Nossa Senhora do Livramento,349.82637698469375,373.680646826137,23.854269841443227,1.0,8.19,-0.1425741712595579,-40.160634779945354,223.79065469207072,-23.089436107926772,36.55164886577881
Miranda,224.63419056631074,229.13189022773895,4.497699661428214,0.99,0.84,2934.2293755012183,-8.16926156381081,62.6360675127932,-19.442521425527957,-10.119044759994042
Ladário,122.47324129979143,123.31885400741945,0.8456127076280211,0.97,0.07,0.003966760237163487,-0.03990924748833464,-1.7287247175989806,-0.06317447565440461,9.994605068521565
